Dependency,Version
lua-cjson:amd64,2.1.0+dfsg-2.1
lvm2,2.03.02-3
makedev,2.3.1-94
makedumpfile,1:1.6.5-1
man-db,2.8.5-2
manpages-dev,4.16-2
manpages,4.16-2
mariadb-common,1:10.3.38-0+deb10u1
mawk,1.3.3-17+b3
mime-support,3.62
minio-client,2021.04.22T17.40.00Z+github1
moreutils,0.62-1
mount,2.33.1-0.1
mtop,0.6.6+github3
mtr-tiny,0.92-2
multiarch-support,2.28-10+deb10u2
mysql-client,5.7.35-1debian10
mysql-common,5.8+1.0.5
mysql-community-client,5.7.35-1debian10
nano,3.2-3
ncurses-base,6.1+20181013-2+deb10u3
ncurses-bin,6.1+20181013-2+deb10u3
ncurses-term,6.1+20181013-2+deb10u3
ndisc6,1.0.4-1
nes-cli,1.0.0+github10
net-tools,1.60+git20180626.aebd88e-1
netbase,5.6
netcat-openbsd,1.195-2
netcat-traditional,1.10-41.1
nfacct,1.0.2-2
nodejs,16.16.0-deb-1nodesource1
nomad,1.1.6+github1
ntpdate,1:4.2.8p12+dfsg-4
numactl,2.0.12-1
nvme-cli,1.7-1
open-vm-tools,2:10.3.10-1+deb10u3
openssh-client,1:7.9p1-10+deb10u2
openssh-server,1:7.9p1-10+deb10u2
openssh-sftp-server,1:7.9p1-10+deb10u2
openssl,1.1.1n-0+deb10u4
orchestrator,3.2.6+github1
osqueryi,5.4.0-1+github1
parted,3.2-25
passwd,1:4.5-1.1
patch,2.7.6-3+deb10u1
pciutils,1:3.5.2-1
percona-toolkit,3.3.1-1.buster
percona-xtrabackup-24,2.4.23-1.buster
percona-xtrabackup-8,8.0.28-21+github5
perl-base,5.28.1-6+deb10u1
perl-modules-5.28,5.28.1-6+deb10u1
perl-openssl-defaults:amd64,3
perl,5.28.1-6+deb10u1
pigz,2.4-1
pinentry-curses,1.1.0-2
pkg-config,0.29-6
plymouth,0.9.4-1.1
procps,2:3.3.15-2
prom2collectd,0.0.2+github1
psmisc,23.2-1+deb10u1
pv,1.6.6-1
python-apt-common,1.8.4.3
python-django-common,1:1.11.29-1+deb10u8
python-pip-whl,18.1-5
python3-apt,1.8.4.3
python3-asn1crypto,0.24.0-1
python3-attr,18.2.0-1
python3-automat,0.6.0-1
python3-blinker,1.4+dfsg1-0.2
python3-boto,2.44.0-1.1
python3-cairo:amd64,1.16.2-1+b1
python3-cairocffi,0.7.2-2.2
python3-certifi,2018.8.24-1
python3-cffi-backend,1.12.2-1
python3-cffi,1.12.2-1
python3-characteristic,14.3.0-2
python3-chardet,3.0.4-3
python3-configobj,5.0.6-3
python3-constantly,15.1.0-1
python3-crypto,2.6.1-9+b1
python3-cryptography,2.6.1-3+deb10u4
python3-dbus,1.2.8-3
python3-distro,1.3.0-1
python3-distutils,3.7.3-1
python3-django-tagging,1:0.4.5-1
python3-django,1:1.11.29-1+deb10u8
python3-docutils,0.14+dfsg-4
python3-gi,3.30.4-1
python3-google-compute-engine,20190124-3
python3-gunicorn,19.9.0-1
python3-hyperlink,17.3.1-2
python3-idna,2.6-1
python3-incremental,16.10.1-3
python3-jinja2,2.10-2
python3-json-pointer,1.10-1
python3-jsonpatch,1.21-1
python3-jsonschema,2.6.0-4
python3-jwt,1.7.0-2
python3-lib2to3,3.7.3-1
python3-lzf,0.2.4+github1
python3-markupsafe,1.1.0-1
python3-minimal,3.7.3-1
